"","Company_Name","Amount_Dollars","Sector","Country","Region","Company_Address","Company_Website","Company_EIN","Description","Fund_Name","Fund_EIN","Date"
"13","Mobilesson Ltd.",225354,"Software & Tech","Israel","Middle East","111 Arlozorov St. Tel Aviv, 6209809, Israel","connecteam.com","N/A","Produces HR software under the alias ConnectTeam","Stripes IV Offshore AIV, LP","98-1423490","12/22/2021"
"14","N26 GmbH",51126,"Banking","Germany","Europe","Rungestr. 22 (3. Hinterhof) 10179 Berlin, Germany","n26.comen-eu","N/A","Mobile-first alternative bank","Valar Velocity Fund 2 LP","84-4987077","11/19/2021"
"15","Davanti Group BV",11612,"Software & Tech","Netherlands","Europe","Hogeweg 35-E, Zaltbomm 5301 U Netherlands","davanti-wics.comen","N/A","Warehouse management software","WCP Newcold LP","47-3997648","Various"
"16","Newcold Argentan Holding BV",14023,"NA","Netherlands","Europe","Gravinnen Van Nassauboulevard 105 Breda, 4811 BN, Netherlands",NA,"N/A","[No verifiable details]","WCP Newcold LP","47-3997648","Various"
"17","Flixmobility GmbH",363408,"Other","Germany","Europe","Friedenheimer Brucke 16 80639 Munich Germany","flixbus.com","N/A","Cheap long-distance bus travel in the United States","Hedosophia Partners IV L.P.","N/A","6/4/2021"
"18","Glovoapp23, S.L.",321423,"Mobile Apps","Spain","Europe","Calle Pujades, Number 94 Barcelona, Spain","glovoapp.comen","N/A","Food delivery app","Hedosophia Partners IV L.P.","N/A","4/27/2021"
"19","Kry International AB",282096,"Medicine & Biotech","Sweden","Europe","Torsgatan 21, 113 21 113 21 Stockholm, Sweden","kry.health","N/A","Telehealth software","Hedosophia Partners IV L.P.","N/A","5/14/2021"
"20","The Power MBA",231645,"Education","Spain","Europe","Calle Francisco Silvea, 42 Madrid, 28028, Spain","thepower.educationen","N/A","Online business masters program","Hedosophia Partners IV L.P.","N/A","8/25/2021"
"21","Yoco Holdings C1/GBL",225036,"Software & Tech","South Africa","Africa","56 Shortmarket Street Cape Town, 8001, South Africa","yoco.com","N/A","Card machines and online payment vendor","Hedosophia Partners IV L.P.","N/A","6/14/2021"
"22","Opay Limited",148148,"NA","Cayman Islands","South America","P.O. Box 31119 Grand Pavilion, Hibiscus Way, 802 West Bay Road Grand Cayman, KY1-1205 Cayman Islands",NA,"N/A","[No verifiable details]","Hedosophia Partners IV L.P.","N/A","6/7/2021"
