"Company","Country","Investment","Sector","Description","Date","Original Filing","is_israeli"
"<a href=""https://majority.com"">Majority AB</a>","Sweden",152726,"Banking","Mobile banking for non-citizens residing in the U.S.","Various","<a href=""https://github.com/declanrjb/ob-investments/blob/main/docs-public/filings/majority_ab.pdf"">View</a>",FALSE
"Opay Limited","Cayman Islands",148148,"[No verifiable details]","[No verifiable details]","6/7/2021","<a href=""https://github.com/declanrjb/ob-investments/blob/main/docs-public/filings/opay_limited.pdf"">View</a>",FALSE
"<a href=""https://www.portofino.tech/"">Portofino Technologies AG</a>","Switzerland",148019,"Cryptocurrency & Stock","Software infrastructure for cryptocurrency","Various","<a href=""https://github.com/declanrjb/ob-investments/blob/main/docs-public/filings/portofino_technologies_ag.pdf"">View</a>",FALSE
"Pplingo Holdings, Ltd","British Virgin Islands",143831,"[No verifiable details]","[No verifiable details]","Various","<a href=""https://github.com/declanrjb/ob-investments/blob/main/docs-public/filings/pplingo_holdings_ltd.pdf"">View</a>",FALSE
"<a href=""https://swiftmedical.com/"">Swift Medical Inc</a>","Canada",137643,"Medicine & Biotech","Software that helps doctors treat wounds using smartphone cameras","6/28/2021","<a href=""https://github.com/declanrjb/ob-investments/blob/main/docs-public/filings/swift_medical_inc.pdf"">View</a>",FALSE
"<a href=""https://www.shares.io/"">Shares S.A.S</a>","France",137371,"Cryptocurrency & Stock","Stock trading software","Various","<a href=""https://github.com/declanrjb/ob-investments/blob/main/docs-public/filings/shares_sas.pdf"">View</a>",FALSE
"<a href=""https://www.hunters.security"">Cyber Hunters Ltd.</a>","Israel",135242,"Cybersecurity","Cybersecurity software for small companies","12/6/2021","<a href=""https://github.com/declanrjb/ob-investments/blob/main/docs-public/filings/cyber_hunters_ltd.pdf"">View</a>",TRUE
"<a href=""https://skaleet.com/en/about-us"">Skaleet SA F/K/A Tagpay SA</a>","France",133964,"Banking","Backend finance software for banks","9/20/2021","<a href=""https://github.com/declanrjb/ob-investments/blob/main/docs-public/filings/skaleet_sa_f_k_a_tagpay_sa.pdf"">View</a>",FALSE
"<a href=""https://svava.io/"">Svava Pte. Ltd.</a>","Singapore",133450,"Gen AI","AI coworking agents","7/7/2021","<a href=""https://github.com/declanrjb/ob-investments/blob/main/docs-public/filings/svava_pte_ltd.pdf"">View</a>",FALSE
"<a href=""https://www.vauld.com"">DEFI Holding PTE. Ltd.</a>","Singapore",118634,"Cryptocurrency & Stock","Cryptocurrency trading platform","Various","<a href=""https://github.com/declanrjb/ob-investments/blob/main/docs-public/filings/defi_holding_pte_ltd.pdf"">View</a>",FALSE
"<a href=""https://globalequestriangroup.com/"">Global Equestrian Group Holding ApS (fka StandbyCo 1 ApS)</a>","Denmark",117696,"Other","""Dressage, show jumping, and equestrian events""","Various","<a href=""https://github.com/declanrjb/ob-investments/blob/main/docs-public/filings/global_equestrian_group_holding_aps_(fka_standbyco_1_aps).pdf"">View</a>",FALSE
"<a href=""https://www.caronsale.com/en"">Castle Tech GmbH</a>","Germany",116346,"Software & Tech","Online auction platform for used car dealers","11/17/2021","<a href=""https://github.com/declanrjb/ob-investments/blob/main/docs-public/filings/castle_tech_gmbh.pdf"">View</a>",FALSE
"<a href=""https://bizmo-tech.com/"">Bizmo Technologies Pte. Ltd.</a>","Singapore",111885,"Software & Tech","Software development contractor","11/1/2021","<a href=""https://github.com/declanrjb/ob-investments/blob/main/docs-public/filings/bizmo_technologies_pte_ltd.pdf"">View</a>",FALSE
"<a href=""https://chargelab.co/"">Chargelab Inc.</a>","Canada",109479,"Software & Tech","Software infrastructure for electric vehicle chargers in North America","2/5/2021","<a href=""https://github.com/declanrjb/ob-investments/blob/main/docs-public/filings/chargelab_inc.pdf"">View</a>",FALSE
"<a href=""https://hubspot.morressier.com/"">Morressier GmbH</a>","Germany",107700,"Software & Tech","Software backbone for scientific research journals","Various","<a href=""https://github.com/declanrjb/ob-investments/blob/main/docs-public/filings/morressier_gmbh.pdf"">View</a>",FALSE
"Newcold Corby Holding II B.V.","Netherlands",102724,"[No verifiable details]","[No verifiable details]","Various","<a href=""https://github.com/declanrjb/ob-investments/blob/main/docs-public/filings/newcold_corby_holding_ii_bv.pdf"">View</a>",FALSE
"Tangerine Financial Limited","United Kingdom",95006,"NA","[Company dissolved in 2024]","10/15/2021","<a href=""https://github.com/declanrjb/ob-investments/blob/main/docs-public/filings/tangerine_financial_limited.pdf"">View</a>",FALSE
"<a href=""https://n26.com/en-eu"">N26 GmbH</a>","Germany",51126,"Banking","Mobile-first alternative bank","11/19/2021","<a href=""https://github.com/declanrjb/ob-investments/blob/main/docs-public/filings/n26_gmbh.pdf"">View</a>",FALSE
"Newcold Argentan Holding BV","Netherlands",14023,"[No verifiable details]","[No verifiable details]","Various","<a href=""https://github.com/declanrjb/ob-investments/blob/main/docs-public/filings/newcold_argentan_holding_bv.pdf"">View</a>",FALSE
"Newcold Rheine Holdings II BV","Netherlands",12507,"[No verifiable details]","[No verifiable details]",NA,"<a href=""https://github.com/declanrjb/ob-investments/blob/main/docs-public/filings/newcold_rheine_holdings_ii_bv.pdf"">View</a>",FALSE
"<a href=""https://davanti-wics.com/en/"">Davanti Group BV</a>","Netherlands",11612,"Software & Tech","Warehouse management software","Various","<a href=""https://github.com/declanrjb/ob-investments/blob/main/docs-public/filings/davanti_group_bv.pdf"">View</a>",FALSE
"Newcold Development BV","Netherlands",1955,"[No verifiable details]","[No verifiable details]","12/1/2021","<a href=""https://github.com/declanrjb/ob-investments/blob/main/docs-public/filings/newcold_development_bv.pdf"">View</a>",FALSE
