"Company","Country","Investment","Sector","Description","Date"
"<a href=""https://skaleet.com/en/about-us"">Skaleet SA F/K/A Tagpay SA</a>","France",133964,"Banking","Backend finance software for banks","9/20/2021"
"<a href=""https://svava.io/"">Svava Pte. Ltd.</a>","Singapore",133450,"Gen AI","AI coworking agents","7/7/2021"
"<a href=""https://www.vauld.com"">DEFI Holding PTE. Ltd.</a>","Singapore",118634,"Cryptocurrency & Stock","Cryptocurrency trading platform","Various"
"<a href=""https://globalequestriangroup.com/"">Global Equestrian Group Holding ApS (fka StandbyCo 1 ApS)</a>","Denmark",117696,"Other","""Dressage, show jumping, and equestrian events""","Various"
"<a href=""https://www.caronsale.com/en"">Castle Tech GmbH</a>","Germany",116346,"Software & Tech","Online auction platform for used car dealers","11/17/2021"
"<a href=""https://bizmo-tech.com/"">Bizmo Technologies Pte. Ltd.</a>","Singapore",111885,"Software & Tech","Software development contractor","11/1/2021"
"<a href=""https://chargelab.co/"">Chargelab Inc.</a>","Canada",109479,"Software & Tech","Software infrastructure for electric vehicle chargers in North America","2/5/2021"
"<a href=""https://hubspot.morressier.com/"">Morressier GmbH</a>","Germany",107700,"Software & Tech","Software backbone for scientific research journals","Various"
"<a href=""NA"">Newcold Corby Holding II B.V.</a>","Netherlands",102724,"NA","[No verifiable details]","Various"
"<a href=""NA"">Tangerine Financial Limited</a>","United Kingdom",95006,"NA","[Company dissolved in 2024]","10/15/2021"
"<a href=""https://n26.com/en-eu"">N26 GmbH</a>","Germany",51126,"Banking","Mobile-first alternative bank","11/19/2021"
"<a href=""NA"">Newcold Argentan Holding BV</a>","Netherlands",14023,"NA","[No verifiable details]","Various"
"<a href=""NA"">Newcold Rheine Holdings II BV</a>","Netherlands",12507,"NA","[No verifiable details]",NA
"<a href=""https://davanti-wics.com/en/"">Davanti Group BV</a>","Netherlands",11612,"Software & Tech","Warehouse management software","Various"
"<a href=""NA"">Newcold Development BV</a>","Netherlands",1955,"NA","[No verifiable details]","12/1/2021"
