"fund_name","transferee_name","amount","blurb","sector","website","flag","region","URL"
"Stripes V(A) Offshore AIV, LP","Mobilesson Ltd.",159359,"Produces HR software under the alias ConnectTeam","Software & Tech","connecteam.com",NA,"Middle East","https://connecteam.com/"
"Stripes V(A) Offshore AIV, LP","Orca Security Ltd.",239026,"Cybersecurity firm specializing in cloud security","Cybersecurity","orca.security",NA,"Middle East","https://orca.security/"
"VIA Seed Technology Partners Platform Fund LP","Paper Education Company Inc",873406,"Live tutoring for K-12 students","Education","paper.co",NA,"North America","https://paper.co/"
"VIA Seed Technology Partners Platform Fund LP","Skywatch Space Applications Inc",154219,"Sells geospatial data drawn from near-Earth satellites","Software & Tech","skywatch.com",NA,"North America","https://skywatch.com/"
"VIA Seed Technology Partners Platform Fund LP","Swift Medical Inc",116914,"Software that helps doctors treat wounds using smartphone cameras","Medicine & Biotech","swiftmedical.com",NA,"North America","https://swiftmedical.com/"
"Valar Fund VI LP","Kuda Technologies Limited",266551,"Mobile banking app based in Africa","Banking","kuda.com",NA,"Africa","https://kuda.com/"
"Valar Fund VI LP","Neo Financial Technologies Inc.",349483,"Mobile-first alternative bank","Banking","neofinancial.com",NA,"North America","https://www.neofinancial.com/"
"Valar Fund VI LP","Nufin GmbH",211775,"Company accounting software","Software & Tech","getmoss.com",NA,"Europe","https://www.getmoss.com/"
"Valar Fund VI, LP","Bizmo Technologies Pte. Ltd.",46613,"Software development contractor","Software & Tech","bizmo-tech.com",NA,"Asia","https://bizmo-tech.com/"
"Valar Fund VII LP","Bitpanda GmbH",453693,"Cryptocurrency and stock trading app marketed to beginners","Cryptocurrency & Stock","bitpanda.comen",NA,"Europe","https://www.bitpanda.com/en"
"Valar Fund VII LP","Bizmo Technologies Pte. Ltd.",65272,"Software development contractor","Software & Tech","bizmo-tech.com",NA,"Asia","https://bizmo-tech.com/"
"Valar Fund VII LP","DEFI Holding PTE. Ltd.",118634,"Cryptocurrency trading platform","Cryptocurrency & Stock","vauld.com",NA,"Asia","https://www.vauld.com"
"Valar Fund VII LP","Kuda Technologies Limited",175130,"Mobile banking app based in Africa","Banking","kuda.com",NA,"Africa","https://kuda.com/"
"Valar Fund VII LP","Majority AB",152726,"Mobile banking for non-citizens residing in the U.S.","Banking","majority.com",NA,"Europe","https://majority.com"
"Valar Fund VII LP","Nufin GmbH",94759,"Company accounting software","Software & Tech","getmoss.com",NA,"Europe","https://www.getmoss.com/"
"Valar Fund VII LP","Portofino Technologies AG",148019,"Software infrastructure for cryptocurrency","Cryptocurrency & Stock","portofino.tech",NA,"Europe","https://www.portofino.tech/"
"Valar Fund VII LP","Shares S.A.S",137371,"Stock trading software","Cryptocurrency & Stock","shares.io",NA,"Europe","https://www.shares.io/"
"Valar Fund VII LP","Shopup PTE. Ltd.",287113,"Software infrastructure for small retailers in Bangladesh","Software & Tech","shopup.org",NA,"Asia","https://shopup.org/"
"Valar Fund VII LP","Svava Pte. Ltd.",133450,"AI coworking agents","Gen AI","svava.io","T","Asia","https://svava.io/"
"Valar Velocity Fund 2 LP","N26 GmbH",51126,"Mobile-first alternative bank","Banking","n26.comen-eu",NA,"Europe","https://n26.com/en-eu"
"WCP Newcold LP","Davanti Group BV",11612,"Warehouse management software","Software & Tech","davanti-wics.comen",NA,"Europe","https://davanti-wics.com/en/"
"WCP Newcold LP","Newcold Argentan Holding BV",14023,"[No verifiable details]","NA",NA,NA,"Europe",NA
"WCP Newcold, LP","Newcold Corby Holding II B.V.",102724,"[No verifiable details]","NA",NA,NA,"Europe",NA
"WCP Newcold, LP","Newcold Development BV",1955,"[No verifiable details]","NA",NA,NA,"Europe",NA
"WCP Newcold, LP","Newcold Rheine Holdings II BV",12507,"[No verifiable details]","NA",NA,NA,"Europe",NA
"WPEF VI Feeder LP","Blue Phoenix Holding B.V.",413016,"[No verifiable details]","NA",NA,NA,"Europe",NA
"WPEF VII Feeder LP","Global Equestrian Group Holding ApS (fka StandbyCo 1 ApS)",117696,"""Dressage, show jumping, and equestrian events""","Other","globalequestriangroup.com",NA,"Europe","https://globalequestriangroup.com/"
"WPEF VII Feeder LP","Rehab and Mental Healthcare Group B.V.",579693,"[No verifiable details]","NA",NA,NA,"Europe",NA
"WPEF VIII Feeder LP","Apollo Topco B.V.",365946,"[No verifiable details]","NA","companyweb.been0769685496apollo-topco",NA,"Europe","https://www.companyweb.be/en/0769685496/apollo-topco"
"WPEF VIII Feeder LP","Rehab and Mental Healthcare Group B.V.",382935,"[No verifiable details]","NA",NA,NA,"Europe",NA
