"sector","amount","num_comps","percent_value"
"Software & Tech",3069382,14,0.21273259230191
"Mobile Apps",1280378,6,0.0887403819616896
"Other",1147764,5,0.0795491766977226
"Banking",1128980,5,0.0782472960540624
"Education",1105051,2,0.0765888259772872
"Cryptocurrency & Stock",1081549,5,0.0749599503976821
"Medicine & Biotech",861190,4,0.059687318543108
"Cybersecurity",715980,3,0.0496231102666014
"Gen AI",493412,3,0.03419737713744
