"","Company_Name","Amount_Dollars","Country","Region","Company_Address","Company_Website","Company_EIN","Description","Sector","Fund_Name","Fund_EIN","Date"
"25","Ubits Learning Solutions, S.A.S.",180202,"Colombia","South America","Carrea 7 Bis #106-39 Bogota, Colombia","ubits.com","N/A","HR software and training modules","Software & Tech","OWL ventures III, LP","83-0910683","Various"
"26","Global Equestrian Group Holding ApS (fka StandbyCo 1 ApS)",117696,"Denmark","Europe","Uggerhalnevej 80 9310 Vodskov, Denmark","globalequestriangroup.com","N/A","""Dressage, show jumping, and equestrian events""","Other","WPEF VII Feeder LP","98-1378508","Various"
"27","Swile",253882,"France","Europe","561 Rue Geroges Melies 34000 Montpellier, France","swile.co","N/A","Virtual card for employee benefits, particularly meal vouchers","Software & Tech","Hedosophia Partners IV L.P.","N/A","7/15/2021"
"28","Skaleet SA F/K/A Tagpay SA",133964,"France","Europe","86-90 Rue Du Dome Boulogne Billancourt, 92100 France","skaleet.comenabout-us","N/A","Backend finance software for banks","Banking","Long Arc Capital Fund I, L.P.","84-3852891","9/20/2021"
"29","Shares S.A.S",137371,"France","Europe","21 Rue des Filles du Calvaire Paris, France, 75003","shares.io","N/A","Stock trading software","Cryptocurrency & Stock","Valar Fund VII LP","86-2223256","Various"
"30","Clue By Biowink GmbH",161483,"Germany","Europe","Adalbertstrabe 7-8 Berlin, 10999 Germany","helloclue.com","N/A","Period tracking app","Software & Tech","Balderton Capital VII, SLP","98-1501043","Various"
"31","Morressier GmbH",107700,"Germany","Europe","Zossener Strasse 55-58 10961 Berlin, Germany","hubspot.morressier.com","N/A","Software backbone for scientific research journals","Software & Tech","Owl Ventures IV, LP","85-0853105","Various"
"32","Castle Tech GmbH",116346,"Germany","Europe","Mariendorfer Damm 1 Berlin, 12099, Germany","caronsale.comen","N/A","Online auction platform for used car dealers","Software & Tech","Stripes IV Offshore AIV, LP","98-1423490","11/17/2021"
"33","N26 GmbH",51126,"Germany","Europe","Rungestr. 22 (3. Hinterhof) 10179 Berlin, Germany","n26.comen-eu","N/A","Mobile-first alternative bank","Banking","Valar Velocity Fund 2 LP","84-4987077","11/19/2021"
"34","Flixmobility GmbH",363408,"Germany","Europe","Friedenheimer Brucke 16 80639 Munich Germany","flixbus.com","N/A","Cheap long-distance bus travel in the United States","Other","Hedosophia Partners IV L.P.","N/A","6/4/2021"
"35","Scalable Capital GmbH",223832,"Germany","Europe","Seitzstrabe 8E 80538 Munich, Germany","de.scalable.capitalen","N/A","Stock trading app","Cryptocurrency & Stock","Hedosophia Partners IV L.P.","N/A","6/21/2021"
"36","Barbara Sturm Molecular Cosmetics GmbH",235443,"Germany","Europe","Konigsallee 24 40212 Dusseldorft, Germany","drsturm.com","N/A","Skincare and cosmetics products","Medicine & Biotech","Stripes V(A) Offshore AIV, LP","98-1576367","3/8/2021"
"37","Nufin GmbH",211775,"Germany","Europe","Ziegelstr. 16 10117, Berlin, Germany","getmoss.com","N/A","Company accounting software","Software & Tech","Valar Fund VI LP","84-4735286","2/1/2021"
"38","Nufin GmbH",94759,"Germany","Europe","Ziegelstr. 16 Berlin, 10117, Germany","getmoss.com","N/A","Company accounting software","Software & Tech","Valar Fund VII LP","86-2223256","8/31/2021"
"39","Cross Ocean Aviation Fund | (Intl) DAC",2807638,"Ireland","Europe","2 Grand Canal Square, Grand Canal Harbour Dublin 2 DO2 A342, Ireland",NA,"N/A","Investment fund","Fund","Cross Ocean Aviation Fund | Cayman Feeder LP","98-1351135","Various"
"40","Cyber Hunters Ltd.",135242,"Israel","Middle East","82 Yigal Alon St Tel Aviv, 6789139, Israel","hunters.security","N/A","Cybersecurity software for small companies","Cybersecurity","Stripes IV Offshore AIV, LP","98-1423490","12/6/2021"
"41","Mobilesson Ltd.",225354,"Israel","Middle East","111 Arlozorov St. Tel Aviv, 6209809, Israel","connecteam.com","N/A","Produces HR software under the alias ConnectTeam","Software & Tech","Stripes IV Offshore AIV, LP","98-1423490","12/22/2021"
"42","Fireblocks Ltd.",477298,"Israel","Middle East","150 Begin Menachem Rd Tel Aviv-Jaffa, Israel 6492105","fireblocks.com","N/A","Backend infrastructure for digital money transfers and cryptocurrency","Software & Tech","Stripes V(A) Offshore AIV, LP","98-1576367","2/18/2021"
"43","Orca Security Ltd.",239026,"Israel","Middle East","Hamasger St 66 Tel Aviv-Yafo, Israel 6721714","orca.security","N/A","Cybersecurity firm specializing in cloud security","Cybersecurity","Stripes V(A) Offshore AIV, LP","98-1576367","8/4/2021"
"44","Mobilesson Ltd.",159359,"Israel","Middle East","111 Arlozorov Tel Aviv - Jaffa, Israel 6209809","connecteam.com","N/A","Produces HR software under the alias ConnectTeam","Software & Tech","Stripes V(A) Offshore AIV, LP","98-1576367","12/22/2021"
"45","PW Real Estate Fund III Feeder LP",395802,"Jersey","Europe","1 Waverly Place, Union Street St Helier JE1 1SG, Jersey",NA,"98-1275822","Fund [closed]",NA,"PW Real Estate Fund III Feeder LP","98-1275822","7/29/2021"
"46","Jokr S.A.R.L.",238846,"Luxembourg","Europe","6 Rue Adolphe L-1116 Luxembourg","jokr.com","N/A","Grocery delivery app","Software & Tech","Balderton Capital VII, SLP","98-1501043","Various"
"47","Davanti Group BV",11612,"Netherlands","Europe","Hogeweg 35-E, Zaltbomm 5301 U Netherlands","davanti-wics.comen","N/A","Warehouse management software","Software & Tech","WCP Newcold LP","47-3997648","Various"
"48","Newcold Argentan Holding BV",14023,"Netherlands","Europe","Gravinnen Van Nassauboulevard 105 Breda, 4811 BN, Netherlands",NA,"N/A","[No verifiable details]","[No verifiable details]","WCP Newcold LP","47-3997648","Various"
"49","Blue Phoenix Holding B.V.",413016,"Netherlands","Europe","Petroleumweg 32D 3196 KD Rotterdam, Netherlands","blue-phoenix.com","N/A","Repurposing landfill waste for urban development","Other","WPEF VI Feeder LP","98-0706142","Various"
"50","Rehab and Mental Healthcare Group B.V.",579693,"Netherlands","Europe","Prins Bernhardplein 200 1097 JB Amsterdam, Netherlands",NA,"N/A","[No verifiable details]","[No verifiable details]","WPEF VII Feeder LP","98-1378508","Various"
"51","Rehab and Mental Healthcare Group B.V.",382935,"Netherlands","Europe","Prins Bernhardplein 200 1097 JB Amsterdam, Netherlands",NA,"N/A","[No verifiable details]","[No verifiable details]","WPEF VIII Feeder LP","98-1563212","Various"
"52","Newcold Corby Holding II B.V.",102724,"Netherlands","Europe","Gravinnen Van Nassauboulevard 105 4811 BN Breda, Netherlands",NA,"N/A","[No verifiable details]","[No verifiable details]","WCP Newcold, LP","47-3997648","Various"
"53","Newcold Development BV",1955,"Netherlands","Europe","Gravinnen Van Nassauboulevard 105 Breda, 4811 BN, Netherlands",NA,"N/A","[No verifiable details]","[No verifiable details]","WCP Newcold, LP","47-3997648","12/1/2021"
"54","Newcold Rheine Holdings II BV",12507,"Netherlands","Europe","Gravinnen Van Nassauboulevard 105 Breda, 4811 BN, Netherlands",NA,"N/A","[No verifiable details]","[No verifiable details]","WCP Newcold, LP","47-3997648",NA
"55","Leap Technologies Private Ltd",160001,"Singapore","Asia","11 Collyer Quay #17-00 The Arcade, Singapore 049317",NA,"N/A","[No verifiable details]","[No verifiable details]","Owl Ventures IV, LP","85-0853105","Various"
"56","Tulp Street Pte Limited",206008,"Singapore","Asia","50 Raffles Place #37-00, Singapore Land Tower Singapore 048623","lummo.io","N/A","Software infrastructure for clinical trials","Medicine & Biotech","Hedosophia Partners IV L.P.","N/A","6/17/2021"
"57","Buku Pte. Ltd.",214945,"Singapore","Asia","2 Marina Boulevard #19-10 Singapore 018987",NA,"N/A","[No verifiable details]","Software & Tech","Valar Fund VII LP","86-2223256","5/27/2021"
"58","Shopup PTE. Ltd.",287113,"Singapore","Asia","1B Trengganu St Singapore 058455","shopup.org","N/A","Software infrastructure for small retailers in Bangladesh","Software & Tech","Valar Fund VII LP","86-2223256","Various"
"59","DEFI Holding PTE. Ltd.",118634,"Singapore","Asia","UOB Plaza, 80 Raffles Place #32-01 Singapore 048624","vauld.com","N/A","Cryptocurrency trading platform","Cryptocurrency & Stock","Valar Fund VII LP","86-2223256","Various"
"60","Svava Pte. Ltd.",133450,"Singapore","Asia","6001 Beach Road, #22-01, Golden Mile Tower Singapore 199589",NA,"N/A","[No verifiable details]","[No verifiable details]","Valar Fund VII LP","86-2223256","7/7/2021"
